Favorite,Underdog,Spread,Outcome,Upset
GreenBay,KansasCity,14,25,0
GreenBay,Oakland,13.5,19,0
Baltimore,NYJets,18,-9,1
Minnesota,KansasCity,12.5,-16,1
Dallas,Baltimore,2,-3,1
Dallas,Miami,6,21,0
Miami,Washington,1,7,0
Miami,Minnesota,7,17,0
Pittsburgh,Minnesota,3,10,0
Pittsburgh,Dallas,6,-4,1
Oakland,Minnesota,4.5,18,0
Dallas,Denver,5.5,17,0
Pittsburgh,Dallas,3.5,4,0
Pittsburgh,LARams,10.5,12,0
Philadelphia,Oakland,3,-17,1
SanFrancisco,Cincinnati,1,5,0
Miami,Washington,3,-10,1
Washington,LARaiders,2.5,-29,1
SanFrancisco,Miami,3,22,0
Chicago,NewEngland,10,36,0
NYGiants,Denver,9.5,19,0
Denver,Washington,3,-32,1
SanFrancisco,Cincinnati,7,4,0
SanFrancisco,Denver,11.5,45,0
Buffalo,NYGiants,6,-1,1
Washington,Buffalo,7,13,0
Dallas,Buffalo,7,35,0
Dallas,Buffalo,10,17,0
SanFrancisco,SanDiego,19,23,0
Dallas,Pittsburgh,13,10,0
GreenBay,NewEngland,14,14,0
Denver,GreenBay,12,7,0
Denver,Atlanta,7.5,15,0
StLouis,Tennessee,7,7,0
Baltimore,NewYork,3,27,0
NewEngland,StLouis,14,-3,1
Oakland,TampaBay,3.5,-27,1
NewEngland,Carolina,7,3,0
NewEngland,Philadelphia,4,3,0
Pittsburgh,NewEngland,4,11,0
Indianapolis,Chicago,7,8,0
NewEngland,NYGiants,14,-3,1
Pittsburgh,Arizona,6.5,4,0
NewOrleans,Indianapolis,5,14,1
GreenBay,Pittsburgh,2.5,3.5,0
NewEngland,NYGiants,2.5,-4,1
SanFrancisco,Baltimore,4.5,-3,1
Denver,Seattle,2.5,-35,1
NewEngland,Seattle,1,4,0